source,pt_PT
Only {0} Goals can be {1},Somente {0} metas podem ser {1}
Open,Abrir
Open & Approved,Aberto e aprovado
Open Feedback,Comentários abertos
Open Now,Abra agora
Open Resume in New Tab,Abra o currículo em uma nova guia
Opening Balances,Saldos iniciais
Opening closed.,Abertura fechada.
Optional Holiday List not set for leave period {0},Lista opcional de feriados não definida para período de licença {0}
Optional Leaves are holidays that Employees can choose to avail from a list of holidays published by the company.,As Férias Facultativas são feriados que os Colaboradores podem optar por usufruir a partir de uma lista de feriados publicada pela empresa.
Orange,Laranja
Organizational Chart,Organograma
Other Details,Outros detalhes
Other Settings,Outras configurações
Other Taxes and Charges,Outros impostos e taxas
Others,Outros
Out Time,Tempo de saída
Over Allocation,Sobrealocação
Overall Average Rating,Classificação média geral
Overlapping Attendance Request,Solicitação de presença sobreposta
Overlapping Shift Attendance,Sobreposição de presença em turnos
Overlapping Shift Requests,Sobreposição de solicitações de turno
Overlapping Shifts,Sobreposição de turnos
Overtime,Ao longo do tempo
Overtime Amount Calculation,Cálculo do valor de horas extras
Overtime Details,Detalhes das horas extras
Overtime Duration,Duração das horas extras
Overtime Duration for {0} is greater than Maximum Overtime Hours Allowed,A duração das horas extras para {0} é maior que o máximo permitido de horas extras
Overtime Salary Component,Componente salarial de horas extras
Overtime Slip,Desvio de horas extras
Overtime Slip Creation Error for {0},Erro ao criar boleto de horas extras para {0}
Overtime Slip Creation Failed,Falha na criação do boleto de horas extras
Overtime Slip Step,Etapa de deslizamento de horas extras
Overtime Slip Submission Error for {0},Erro no envio do comprovante de horas extras para {0}
Overtime Slip Submission Failed,Falha no envio do comprovante de horas extras
Overtime Slip Submitted,Comprovante de horas extras enviado
Overtime Slip created for {0} employee(s),Comprovante de horas extras criado para {0} funcionário(s)
Overtime Slip creation is queued. It may take a few minutes,A criação de boleto de horas extras está na fila. Pode demorar alguns minutos
Overtime Slip submission is queued. It may take a few minutes,O envio do boleto de horas extras está na fila. Pode demorar alguns minutos
Overtime Slip:{0} has been created between {1} and {2},Comprovante de horas extras:{0} foi criado entre {1} e {2}
Overtime Slips Created,Boletos de horas extras criados
Overtime Slips submitted for {0} employee(s),Comprovantes de horas extras enviados para {0} funcionário(s)
Overtime Type,Tipo de horas extras
Overtime earnings will be booked under this salary component for payout.,Os ganhos de horas extras serão contabilizados neste componente salarial para pagamento.
Overview,Visão geral
Overwrite Salary Structure Amount,Substituir valor da estrutura salarial
Overwrite Salary Structure Amount is disabled as the Salary Component: {0} not part of the Salary Structure: {1},O valor da estrutura salarial de substituição está desativado porque o componente salarial: {0} não faz parte da estrutura salarial: {1}
Owned,Controlado
PAN Number,Número PAN
PF Account,Conta PF
PF Amount,Valor da FP
PF Loan,Empréstimo PF
PWA Notification,Notificação PWA
Paid Amount (Company Currency),Valor pago (moeda da empresa)
Paid via Salary Slip,Pago via comprovante de salário
Parameter,Parâmetro
Parent Goal,Meta pai
Part-time,Tempo parcial
Partial Success,Sucesso Parcial
"Partially Sponsored, Require Partial Funding","Parcialmente patrocinado, requer financiamento parcial"
Partly Claimed and Returned,Parcialmente reivindicado e devolvido
Passport Number,Número do passaporte
Password Policy,Política de senha
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,A política de senha não pode conter espaços ou hífens simultâneos. O formato será reestruturado automaticamente
Password policy for Salary Slips is not set,A política de senha para recibos de salário não está definida
Pay Details,Detalhes de pagamento
Pay Rate Multipliers,Multiplicadores de taxa de pagamento
Pay Via Payment Entry,Pague via entrada de pagamento
Pay via Salary Slip,Pague via comprovante de salário
Payable Account is mandatory to submit an Expense Claim,A conta a pagar é obrigatória para enviar um relatório de despesas
Payables,Contas a pagar
Payment Account,Conta de pagamento
Payment Account is mandatory,Conta de pagamento é obrigatória
Payment Date,Data de pagamento
Payment Days,Dias de Pagamento
Payment Days Calculation Help,Ajuda para cálculo de dias de pagamento
Payment Days Dependency,Dependência de dias de pagamento
Payment Days calculations are based on these Payroll Settings,Os cálculos dos dias de pagamento são baseados nestas configurações de folha de pagamento
Payment and Accounting,Pagamento e Contabilidade
Payment of {0} from {1} to {2},Pagamento de {0} de {1} a {2}
Payout,Pagamento
Payout Method,Método de pagamento
Payout Unclaimed Amount in Final Payroll Cycle,Valor de pagamento não reclamado no ciclo final da folha de pagamento
Payroll,Folha de pagamento
Payroll Based On,Folha de pagamento baseada em
Payroll Correction,Correção da folha de pagamento
Payroll Correction Child,Correção da folha de pagamento filho
Payroll Cost Center,Centro de Custo da Folha de Pagamento
Payroll Cost Centers,Centros de custos de folha de pagamento
Payroll Date,Data da folha de pagamento
Payroll Employee Detail,Detalhes do funcionário da folha de pagamento
Payroll Entry,Entrada da folha de pagamento
Payroll Entry cancellation is queued. It may take a few minutes,O cancelamento da entrada da folha de pagamento está na fila. Pode demorar alguns minutos
Payroll Frequency,Frequência da folha de pagamento
Payroll Info,Informações da folha de pagamento
Payroll Number,Número da folha de pagamento
Payroll Payable Account,Conta a pagar de folha de pagamento
Payroll Period,Período da folha de pagamento
Payroll Period Date,Data do período da folha de pagamento
Payroll Periods,Períodos de folha de pagamento
Payroll Settings,Configurações de folha de pagamento
Payroll date can not be greater than employee's relieving date.,A data da folha de pagamento não pode ser posterior à data de demissão do funcionário.
Payroll date can not be less than employee's joining date.,A data da folha de pagamento não pode ser inferior à data de adesão do funcionário.
Payroll date cannot be in the past. This is to ensure that claims are made for the current or future payroll cycles.,A data da folha de pagamento não pode estar no passado. Isto é para garantir que as reivindicações sejam feitas para os ciclos atuais ou futuros da folha de pagamento.
Payroll date is mandatory for non-recurring type additional salaries.,A data da folha de pagamento é obrigatória para salários adicionais do tipo não recorrente.
Pending (unpaid) amount from previous advances,Valor pendente (não pago) de adiantamentos anteriores
Pending Asset Returns,Devoluções de ativos pendentes
Pending FnF,FnF pendente
Pending Interviews,Entrevistas pendentes
Pending Questionnaires,Questionários pendentes
Percent,Por cento
Percent Deduction,Dedução percentual
Percentage (%),Porcentagem (%)
Piecework,Trabalho por peça
Pink,Rosa
Planned number of Positions,Número planejado de posições
Please Enable Auto Attendance and complete the setup first.,Ative o atendimento automático e conclua a configuração primeiro.
Please Select Company First,Selecione a empresa primeiro
Please assign a Salary Structure for Employee {0} applicable from or before {1} first,Atribua primeiro uma estrutura salarial para o funcionário {0} aplicável a partir de ou antes de {1}
Please confirm once you have completed your training,"Por favor, confirme depois de concluir seu treinamento"
Please create a new {0} for the date {1} first.,Crie primeiro um novo {0} para a data {1}.
Please delete the Employee {0} to cancel this document,Exclua o Funcionário {0} para cancelar este documento
Please enable default incoming account before creating Daily Work Summary Group,Ative a conta de entrada padrão antes de criar o Grupo de Resumo de Trabalho Diário
Please enter the designation,Por favor insira a designação
"Please fill in Employee, Posting Date, and Company before fetching overtime details.","Preencha Funcionário, Data de postagem e Empresa antes de obter detalhes de horas extras."
Please reduce {0} to avoid shift time overlapping with itself,Reduza {0} para evitar que o horário do turno se sobreponha a si mesmo
Please see attachment,Por favor veja anexo
Please select Company and Designation,Selecione Empresa e Designação
Please select Employee,Por favor selecione Funcionário
Please select Employee first.,Selecione Funcionário primeiro.
Please select Filter Based On,Selecione Filtrar com base em
Please select From Date and Payroll Frequency first,Selecione a data inicial e a frequência da folha de pagamento primeiro
Please select From Date.,Selecione Da data.
Please select Shift Schedule and assignment date(s).,Selecione o horário do turno e a(s) data(s) de atribuição.
Please select Shift Type and assignment date(s).,Selecione o tipo de turno e a(s) data(s) da atribuição.
Please select a Company,Selecione uma empresa
Please select a company first,Selecione uma empresa primeiro
Please select a company first.,Selecione uma empresa primeiro.
Please select a csv file,Selecione um arquivo csv
Please select a date.,Selecione uma data.
Please select an Applicant,Selecione um candidato
Please select at least one Shift Request to perform this action.,Selecione pelo menos uma solicitação de turno para executar esta ação.
Please select at least one employee to perform this action.,Selecione pelo menos um funcionário para realizar esta ação.
Please select at least one row to perform this action.,Selecione pelo menos uma linha para executar esta ação.
Please select company.,Por favor selecione a empresa.
Please select employee first,Selecione o funcionário primeiro
Please select employees to create appraisals for,Selecione funcionários para criar avaliações para
Please select half day attendance status.,Selecione o status de participação de meio dia.
Please select month and year.,Selecione mês e ano.
Please select the Appraisal Cycle first.,Selecione primeiro o Ciclo de Avaliação.
Please select the attendance status.,Selecione o status de atendimento.
Please select the employees you want to mark attendance for.,Selecione os funcionários para os quais deseja marcar presença.
Please select the salary slips to email,Selecione os comprovantes de salário para enviar por e-mail
Please select {0},Selecione {0}
"Please set ""Default Payroll Payable Account"" in Company Defaults","Defina ""Conta de folha de pagamento padrão"" nos padrões da empresa"
Please set Basic and HRA component in Company {0},Defina os componentes Básico e HRA na Empresa {0}
Please set Earning Component for Leave type: {0}.,Defina o componente de ganho para o tipo de licença: {0}.
Please set Payroll based on in Payroll settings,Defina a folha de pagamento com base nas configurações da folha de pagamento
Please set Relieving Date for employee: {0},Defina a data de demissão para o funcionário: {0}
Please set a date range less than 90 days.,Defina um período inferior a 90 dias.
Please set account in Salary Component {0},Defina a conta no Componente Salarial {0}
Please set default template for Leave Approval Notification in HR Settings.,Defina o modelo padrão para notificação de aprovação de licença nas configurações de RH.
Please set default template for Leave Status Notification in HR Settings.,Defina o modelo padrão para notificação de status de licença nas configurações de RH.
Please set the Advance Account {0} or in {1},Defina a conta antecipada em {0} ou em {1}
Please set the Appraisal Template for all the {0} or select the template in the Employees table below.,Defina o modelo de avaliação para todos os {0} ou selecione o modelo na tabela Funcionários abaixo.
Please set the Company,Por favor defina a empresa
Please set the Date Of Joining for employee {0},Defina a data de adesão do funcionário {0}
Please set the Holiday List.,"Por favor, defina a lista de feriados."
Please set the date range.,Defina o intervalo de datas.
Please set the relieving date for employee {0},Defina a data de demissão para o funcionário {0}
Please set {0} and {1} in {2}.,Defina {0} e {1} em {2}.
Please set {0} for Employee {1},Defina {0} para o Funcionário {1}
Please set {0} for the Employee: {1},Defina {0} para o Funcionário: {1}
Please set {0}.,Defina {0}.
Please setup Employee Naming System in Human Resource > HR Settings,Configure o sistema de nomenclatura de funcionários em Recursos Humanos > Configurações de RH
Please setup numbering series for Attendance via Setup > Numbering Series,Configure a série de numeração para Presença em Configuração > Série de numeração
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Compartilhe seu feedback sobre o treinamento clicando em 'Feedback do treinamento' e depois em 'Novo'
Please specify the job applicant to be updated.,Especifique o candidato ao emprego a ser atualizado.
"Please specify {0} and {1} (if any), for the correct tax calculation in future salary slips.","Especifique {0} e {1} (se houver), para o cálculo correto do imposto em futuros comprovantes de salário."
Please submit the {0} before marking the cycle as Completed,Envie o {0} antes de marcar o ciclo como Concluído
Please update your status for this training event,Atualize seu status para este evento de treinamento
Posted On,Postado em
Posting date,Data de postagem
Preferred Area for Lodging,Zona Preferencial para Alojamento
Present,Presente
Present Records,Registros atuais
Prevent self approval for expense claims even if user has permissions,"Impedir a autoaprovação de declarações de despesas, mesmo que o usuário tenha permissões"
Prevent self approval for leaves even if user has permissions,Impedir a autoaprovação de licenças mesmo que o usuário tenha permissões
Preview,Visualização
Preview Salary Slip,Visualizar comprovante de salário
Principal Amount,Valor principal
Print Heading,Imprimir título
Printed On {0},Impresso em {0}
Printing Details,Detalhes de impressão
Privilege Leave,Licença Privilegiada
Probation,Provação
Probationary Period,Período Probatório
Process Attendance After,Atendimento ao Processo Depois
Process Payroll Accounting Entry based on Employee,Processar lançamento contábil da folha de pagamento com base no funcionário
Process Requests,Processar Solicitações
Process Shift Requests,Solicitações de mudança de processo
Process leave encashment via a separate Payment Entry instead of Salary Slip,Processar o pagamento de licenças por meio de uma entrada de pagamento separada em vez do comprovante de salário
Process {0} Shift Request(s) as <b>{1}</b>?,Processar {0} solicitações de turno como <b>{1}</b>?
Processing Requests,Processando Solicitações
Processing Requests...,Processando Solicitações...
Processing of Shift Requests has been queued. It may take a few minutes.,O processamento de solicitações de turno foi enfileirado. Pode demorar alguns minutos.
Professional Tax Deductions,Deduções fiscais profissionais
Proficiency,Proficiência
Profit,Lucro
Progress,Progresso
Project,Projeto
Promotion Date,Data da promoção
Property,Propriedade
Property already added,Propriedade já adicionada
Provident Fund Deductions,Deduções do Fundo de Previdência
Public Holiday Multiplier,Multiplicador de feriados
Publish Applications Received,Publicar inscrições recebidas
Publish Salary Range,Publicar faixa salarial
Publish on website,Publicar no site
Purpose & Amount,Finalidade e Quantidade
Purpose of Travel,Objetivo da viagem
Quarterly,Trimestral
Questionnaire Email Sent,Questionário enviado por e-mail
Quick Filters,Filtros Rápidos
Quick Links,Links rápidos
Radius within which check-in is allowed (in meters),Raio dentro do qual o check-in é permitido (em metros)
Raised By,Criado por
Rate Goals Manually,Avaliar metas manualmente
Rating,Avaliação
Rating Criteria,Critérios de classificação
Ratings,Avaliações
Re-allocate Leaves,Realocar folhas
Reason,Razão
Reason for Adjustment,Motivo do Ajuste
Reason for Requesting,Motivo da solicitação
Reason for Withholding Salary,Motivo da retenção de salário
Reason for skipping auto attendance:,Motivo para pular o atendimento automático:
Receivables,Contas a receber
Recent Attendance Requests,Solicitações de participação recentes
Recent Expenses,Despesas recentes
Recent Leaves,Folhas recentes
Recent Shift Requests,Solicitações de turno recentes
Recommended for a single biometric device / checkins via mobile app,Recomendado para um único dispositivo biométrico/checkins via aplicativo móvel
Recover Cost,Recuperar custo
Recruitment,Recrutamento
Recruitment Analytics,Análise de recrutamento
Red,Vermelho
Reduce,Reduzir
Reducing maximum leaves allowed after allocation may cause scheduler to allocate incorrect number of earned leaves. Proceed with caution.,A redução do número máximo de licenças permitidas após a alocação pode fazer com que o agendador aloque um número incorreto de licenças ganhas. Proceda com cautela.
Reduction is more than {0}'s available leave balance {1} for leave type {2},A redução é superior ao saldo de licença disponível {1} ​​de {0} para o tipo de licença {2}
Reference,Referência
Reference Document,Documento de referência
Reference Document Name,Nome do documento de referência
Reference Document Type,Tipo de documento de referência
Reference: {0},Referência: {0}
Referral Bonus Payment Status,Status de pagamento do bônus de indicação
Referral Details,Detalhes de referência
Referrer,Referenciador
Referrer Details,Detalhes do referenciador
Referrer Name,Nome do referenciador
Reflections,Reflexões
Refuelling Details,Detalhes de reabastecimento
Reject,Rejeitar
Reject Employee Referral,Rejeitar indicação de funcionário
Rejected,Rejeitado
Release Withheld Salaries,Liberar salários retidos
Released,Lançado
Relieving Date,Data de alívio
Relieving Date ,Data de alívio
Relieving Date Missing,Alívio de data ausente
Remaining Benefits (Yearly),Benefícios restantes (anual)
Remind Before,Lembrar antes
Reminded,Lembrado
Reminder,Lembretes
Reminders,Lembretes
Remove if Zero Valued,Remover se tiver valor zero
Rented Car,Carro alugado
Reopen,Reabrir
Repay From Salary,Reembolsar do salário
Repay From Salary can be selected only for term loans,Reembolsar do salário pode ser selecionado apenas para empréstimos a prazo
Repay Unclaimed Amount from Salary,Reembolsar valor não reclamado do salário
Repeat On Days,Repetir em dias
Replied,Respondeu
Replies,Respostas
Reports,Relatórios
Reports To,Relatórios para
Request Attendance,Solicitar presença
Request a Leave,Solicite uma licença
Request a Shift,Solicite um turno
Requested By,Solicitado por
Requested By (Name),Solicitado por (Nome)
Require Full Funding,Exigir financiamento total
Required Skills,Habilidades necessárias
Required for Employee Creation,Obrigatório para criação de funcionário
Reschedule Interview,Reagendar Entrevista
Resignation Letter Date,Data da carta de demissão
Resolution Date,Data de resolução
Resolution Details,Detalhes da resolução
Resolved By,Resolvido por
Responsibilities,Responsabilidades
Restrict Backdated Leave Application,Restringir pedido de licença retroativo
Result,Resultado
Resume Link,Link de currículo
Resume link,Link de currículo
Retained,Retido
Retention Bonus,Bônus de retenção
Retirement Age (In Years),Idade de aposentadoria (em anos)
Retry Failed,Falha na nova tentativa
Retry Failed Allocations,Tentar novamente alocações com falha
Retry Successful,Nova tentativa com sucesso
Retrying allocations,Tentando novamente alocações
Return amount cannot be greater than unclaimed amount,O valor devolvido não pode ser maior que o valor não reclamado
Returned,Devolvido
Review various other settings related to Employee Leaves and Expense Claim,Revise várias outras configurações relacionadas a licenças de funcionários e relatório de despesas
Reviewer,Revisor
Reviewer Name,Nome do revisor
Revised CTC,CTC revisado
Role Allowed to Create Backdated Leave Application,Função com permissão para criar pedido de licença retroativo
Roster,Lista
Roster Color,Cor da lista
Round Name,Nome redondo
Round off Work Experience,Completar a experiência de trabalho
Round to the Nearest Integer,Arredondar para o número inteiro mais próximo
Rounded Total (Company Currency),Total arredondado (moeda da empresa)
Rounding,Arredondamento
Route,Rota
Route to the custom Job Application Webform,Direcione para o formulário on-line de solicitação de emprego personalizado
Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary,Linha #{0}: Não é possível definir o valor ou a fórmula para o Componente Salarial {1} ​​com Variável Baseada no Salário Tributável
Row #{0}: The {1} Component has the options {2} and {3} enabled.,Linha #{0}: O componente {1} tem as opções {2} e {3} ativadas.
Row #{0}: Timesheet amount will overwrite the Earning component amount for the Salary Component {1},Linha #{0}: o valor do quadro de horários substituirá o valor do componente de ganhos do componente de salário {1}
Row No {0}: Amount cannot be greater than the Outstanding Amount against Expense Claim {1}. Outstanding Amount is {2},Linha nº {0}: O valor não pode ser maior que o valor pendente da declaração de despesas {1}. O valor pendente é {2}
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},A linha {0}# valor alocado {1} não pode ser maior que o valor não reclamado {2}
Row {0}# Paid Amount cannot be greater than Encashment amount,Linha {0}# Valor pago não pode ser maior que o valor do saque
Row {0}# Paid Amount cannot be greater than Total amount,Linha {0}# Valor pago não pode ser maior que o valor total
Row {0}# Paid Amount cannot be greater than requested advance amount,Linha {0}# Valor pago não pode ser maior que o valor do adiantamento solicitado
Row {0}: Cost Center {1} does not belong to Company {2},Linha {0}: Centro de Custo {1} não pertence à Empresa {2}
Row {0}: From (Year) can not be greater than To (Year),Linha {0}: De (Ano) não pode ser maior que Até (Ano)
Row {0}: Goal Score cannot be greater than {1},Linha {0}: a pontuação da meta não pode ser maior que {1}
Row {0}: Paid amount {1} is greater than pending accrued amount {2} against loan {3},Linha {0}: O valor pago {1} é maior que o valor acumulado pendente {2} contra o empréstimo {3}
Row {0}: {1},Linha {0}: {1}
Row {0}: {1} is required in the expenses table to book an expense claim.,Linha {0}: {1} é obrigatória na tabela de despesas para registrar um relatório de despesas.
Rules,Regras
Salary Component,Componente Salarial
Salary Component ,Componente Salarial
Salary Component Account,Conta do componente salarial
Salary Component Based,Baseado no componente salarial
Salary Component Type,Tipo de componente salarial
Salary Component for timesheet based payroll.,Componente salarial para folha de pagamento baseada em quadro de horários.
Salary Component {0} cannot be selected more than once in Employee Benefits,O Componente Salarial {0} não pode ser selecionado mais de uma vez em Benefícios a Empregados
Salary Component {0} is currently not used in any Salary Structure.,O Componente Salarial {0} atualmente não é usado em nenhuma Estrutura Salarial.
Salary Component {0} must be of type 'Earning' to be used in Employee Benefit Ledger,O componente salarial {0} deve ser do tipo 'Ganhos' para ser usado no livro razão de benefícios do funcionário
Salary Currency,Moeda Salarial
Salary Detail,Detalhe do salário
Salary Details,Detalhes salariais
Salary Expectation,Expectativa Salarial
Salary Paid Per,Salário pago por
Salary Payments Based On Payment Mode,Pagamentos de salário com base no modo de pagamento
Salary Payments via ECS,Pagamento de salários via ECS
Salary Range,Faixa salarial
Salary Register,Cadastro Salarial
Salary Slip,Comprovante de Salário
Salary Slip Based on Timesheet,Comprovante de salário com base no quadro de horários
Salary Slip ID,ID do comprovante de salário
Salary Slip Leave,Licença de recibo de salário
Salary Slip Loan,Empréstimo de recibo de salário
Salary Slip Reference,Referência do comprovante de salário
Salary Slip Timesheet,Quadro de horários do comprovante de salário
Salary Slip already exists for {0} for the given dates,Já existe comprovante de salário de {0} para as datas indicadas
Salary Slip creation is queued. It may take a few minutes,A criação do comprovante de salário está na fila. Pode demorar alguns minutos
Salary Slip not found.,Comprovante de salário não encontrado.
Salary Slip of employee {0} already created for this period,Comprovante de salário do funcionário {0} já criado para este período
Salary Slip of employee {0} already created for time sheet {1},Comprovante de salário do funcionário {0} já criado para folha de ponto {1}
Salary Slip submission is queued. It may take a few minutes,O envio do comprovante de salário está na fila. Pode demorar alguns minutos
Salary Slip {0} failed for Payroll Entry {1},Comprovante de salário {0} falhou no lançamento da folha de pagamento {1}
Salary Slip {0} failed. You can resolve the {1} and retry {0}.,O comprovante de salário {0} falhou. Você pode resolver o {1} e tentar novamente {0}.
Salary Slips Created,Comprovantes de salário criados
Salary Slips Submitted,Recibos de salário enviados
"Salary Slips already exist for employees {}, and will not be processed by this payroll.",Já existem recibos de salário para funcionários {} e não serão processados ​​por esta folha de pagamento.
Salary Slips submitted for period from {0} to {1},Comprovantes de salário enviados para o período de {0} a {1}
Salary Structure,Estrutura Salarial
Salary Structure Assignment,Atribuição de estrutura salarial
Salary Structure Assignment field,Campo Atribuição de Estrutura Salarial
Salary Structure Assignment for Employee already exists,A atribuição de estrutura salarial para funcionário já existe
Salary Structure Assignment not found for employee {0} on date {1},Atribuição de estrutura salarial não encontrada para o funcionário {0} na data {1}
Salary Structure Missing,Estrutura salarial ausente
Salary Structure must be submitted before submission of {0},A estrutura salarial deve ser enviada antes do envio de {0}
Salary Structure not assigned for employee {0} for date {1},Estrutura salarial não atribuída ao funcionário {0} para a data {1}
Salary Structure {0} does not belong to company {1},Estrutura Salarial {0} não pertence à empresa {1}
Salary Structures updated successfully,Estruturas Salariais atualizadas com sucesso
Salary Withholding,Retenção de salário
Salary Withholding Cycle,Ciclo de retenção salarial
Salary Withholding {0} already exists for employee {1} for the selected period,Já existe retenção de salário {0} para o funcionário {1} no período selecionado
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.",Salário já processado para o período entre {0} e {1}. O período de solicitação de licença não pode estar entre esse intervalo de datas.
Salary breakup based on Earning and Deduction.,Separação salarial com base em ganhos e deduções.
"Salary components of type Provident Fund, Additional Provident Fund or Provident Fund Loan are not set up.","Não são constituídas componentes salariais do tipo Fundo de Previdência, Fundo de Previdência Complementar ou Empréstimo do Fundo de Previdência."
Salary components should be part of the Salary Structure.,Os componentes salariais devem fazer parte da Estrutura Salarial.
Salary slip emails have been enqueued for sending. Check {0} for status.,E-mails de comprovantes de salário foram enfileirados para envio. Verifique o status de {0}.
Sanctioned Amount,Valor Sancionado
Sanctioned Amount (Company Currency),Valor Sancionado (Moeda da Empresa)
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,O Valor Sancionado não pode ser maior que o Valor da Reivindicação na Linha {0}.
Saturday,Sábado
Save,Salvar
Scheduled,Agendado
Scheduled On,Agendado para
Scheduler,Agendador
Score,Pontuação
Score Earned,Pontuação obtida
Score must be less than or equal to 5,A pontuação deve ser menor ou igual a 5
Scores,Pontuações
Search for Jobs,Pesquisar empregos
Select Applicable Components for Overtime Type,Selecione os componentes aplicáveis ​​para o tipo de horas extras
Select Interview Type First,Selecione primeiro o tipo de entrevista
Select Interview first,Selecione Entrevista primeiro
Select Month for LWP Reversal,Selecione o mês para reversão do LWP
Select Payment Account to make Bank Entry,Selecione Conta de Pagamento para fazer Entrada Bancária
Select Payroll Frequency.,Selecione Frequência da folha de pagamento.
Select Property,Selecione a propriedade
Select Shift Requests,Selecione solicitações de turno
Select Terms and Conditions,Selecione os Termos e Condições
Select Users,Selecione usuários
Select an employee to get the employee advance.,Selecione um funcionário para obter o adiantamento do funcionário.
Select if any of the days selected for request are holidays,Selecione se algum dos dias selecionados para solicitação for feriado
Select the Employee for which you want to allocate leaves.,Selecione o funcionário para o qual deseja alocar licenças.
Select the Employee.,Selecione o Funcionário.
"Select the Leave Type like Sick leave, Privilege Leave, Casual Leave, etc.","Selecione o tipo de licença, como licença médica, licença privilegiada, licença casual, etc."
Select the date after which this Leave Allocation will expire.,Selecione a data após a qual esta alocação de licença expirará.
Select the date from which this Leave Allocation will be valid.,Selecione a data a partir da qual esta alocação de licença será válida.
Select the end date for your Leave Application.,Selecione a data de término do seu pedido de licença.
Select the salary components whose total will be used from the salary slip to calculate the hourly overtime rate.,Selecione os componentes salariais cujo total será utilizado no comprovante de salário para calcular a taxa de horas extras.
Select the start date for your Leave Application.,Selecione a data de início do seu pedido de licença.
Select this if you want shift assignments to be automatically created indefinitely.,Selecione esta opção se desejar que as atribuições de turno sejam criadas automaticamente indefinidamente.
"Select type of leave the employee wants to apply for, like Sick Leave, Privilege Leave, Casual Leave, etc.","Selecione o tipo de licença que o funcionário deseja solicitar, como Licença Médica, Licença Privilegiada, Licença Casual, etc."
Select your Leave Approver i.e. the person who approves or rejects your leaves.,"Selecione seu aprovador de licenças, ou seja, a pessoa que aprova ou rejeita suas licenças."
Selected employee advance is not of employee {0},O adiantamento do funcionário selecionado não é do funcionário {0}
Selected employee advance is not of employee {},O adiantamento do funcionário selecionado não é do funcionário {}
Self Appraisal,Autoavaliação
Self Appraisal Pending: {0},Autoavaliação pendente: {0}
Self Appraisal Score,Pontuação de autoavaliação
Self Score,Autopontuação
Self-Study,Autoestudo
Self-approval for Expense Claims is not allowed,A autoaprovação para relatórios de despesas não é permitida
Self-approval for leaves is not allowed,A autoaprovação para licenças não é permitida
Seminar,Seminário
Send Emails At,Enviar e-mails em
Send Exit Questionnaire,Enviar questionário de saída
Send Exit Questionnaires,Enviar questionários de saída
Send Interview Feedback Reminder,Enviar lembrete de feedback da entrevista
Send Interview Reminder,Enviar lembrete de entrevista
Send Leave Notification,Enviar notificação de licença
Sender,Remetente
Sender Copy,Cópia do remetente
Sender Email,E-mail do remetente
Sending Failed due to missing email information for employee(s): {1},Falha no envio devido à falta de informações de e-mail do(s) funcionário(s): {1}
Sent,Enviado
Sent Successfully: {0},Enviado com sucesso: {0}
Sep,Setembro
Separation Activities,Atividades de Separação
Separation Begins On,A separação começa
Service,Serviço
Service Details,Detalhes do serviço
Service Expense,Despesa de serviço
Service Expenses,Despesas de serviço
Service Item,Item de serviço
"Set ""From(Year)"" and ""To(Year)"" to 0 for no upper and lower limit.","Defina ""From(Year)"" e ""To(Year)"" como 0 para nenhum limite superior e inferior."
Set Assignment Details,Definir detalhes da tarefa
Set Leave Details,Definir detalhes da licença
Set Relieving Date for Employee: {0},Definir data de demissão para funcionário: {0}
Set filters to fetch employees,Defina filtros para buscar funcionários
Set opening balances for earnings and taxes from the previous employer,Definir saldos iniciais para rendimentos e impostos do empregador anterior
Set optional filters to fetch employees in the appraisee list,Defina filtros opcionais para buscar funcionários na lista de avaliados
Set the default account for the {0} {1},Defina a conta padrão para {0} {1}
Set the frequency for holiday reminders,Defina a frequência dos lembretes de feriados
Set the properties that should be updated in the Employee master on promotion submission,Definir as propriedades que deverão ser atualizadas no cadastro de funcionários no envio da promoção
Set the status to {0} if required.,"Defina o status como {0}, se necessário."
Set {0} for selected employees,Definir {0} para funcionários selecionados
Settings,Configurações
Settings Missing,Configurações ausentes
Settle all Payables and Receivables before submission,Liquidar todas as contas a pagar e a receber antes do envio
Shared document with the user {0} with 'Submit' permission,Documento compartilhado com o usuário {0} com permissão de 'Enviar'
Shift,Mudança
Shift Actual End,Fim real do turno
Shift Actual End Time,Hora de término real do turno
Shift Actual Start,Mudar início real
Shift Actual Start Time,Mudar hora de início real
Shift Assignment,Atribuição de turno
Shift Assignment Details,Detalhes da atribuição de turno
Shift Assignment Tool,Ferramenta de atribuição de turnos
Shift Assignment: {0} created for Employee: {1},Atribuição de Turno: {0} criada para Funcionário: {1}
Shift Assignments created for the schedule between {0} and {1} via background job,Atribuições de turno criadas para a programação entre {0} e {1} por meio de tarefa em segundo plano
Shift Attendance,Presença de turno
Shift Details,Detalhes do turno
Shift End,Fim do turno
Shift End Time,Hora de término do turno
Shift Location,Localização do turno
Shift Request,Solicitação de turno
Shift Request Approver,Aprovador de solicitação de turno
Shift Request Filters,Filtros de solicitação de turno
